artistName,trackName,sPlayed,count,genres,trackId,duration,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
-M-,Bal De Bamako,46,1,[],,,,,,,,,,,,,
1900,Den minsta av segrar,300,1,[],2JXgZxCMolqyK92rjgJOM8,300413.0,0.311,0.946,0.169,0.819,0.14,0.243,-14.303,0.0309,100.245,6.0,4.0
1995,La source,80,1,"['french hip hop', 'french pop', 'rap inde']",1Uzqwnqt75QhIsnpnxMSRo,317306.0,0.677,0.324,0.654,0.0,0.141,0.471,-6.285,0.355,179.189,8.0,4.0
3TEETH,PUMPED UP KICKS,271,1,"['industrial metal', 'industrial rock']",2jtHoahMaDTkdplWVboumX,271666.0,0.464,0.00143,0.92,0.114,0.343,0.266,-5.673,0.0432,91.04,10.0,4.0
9mm Parabellum Bullet,インフェルノ,94,1,"['j-metal', 'j-pop', 'j-poprock', 'j-rock', 'japanese alternative rock', 'japanese post-hardcore', 'visual kei']",3pQ0zUFOi4e1KZ8yQkeD42,94706.0,0.282,0.000101,0.973,0.000611,0.262,0.44,-2.963,0.12,195.042,1.0,3.0
A Perfect Circle,Passive,250,1,"['alternative metal', 'alternative rock', 'nu metal', 'rap rock', 'rock', 'supergroup']",7slyp653Si99N4yQcJ2E9T,250173.0,0.445,0.00112,0.708,0.0104,0.0982,0.119,-6.207,0.0343,86.875,5.0,4.0
A Perfect Circle,The Noose,293,1,"['alternative metal', 'alternative rock', 'nu metal', 'rap rock', 'rock', 'supergroup']",6lvNLD1XRU5paMwWH0RGRI,293173.0,0.679,0.0695,0.409,0.265,0.079,0.31,-10.41,0.0313,131.983,1.0,4.0
A Perfect Circle,The Outsider,246,1,"['alternative metal', 'alternative rock', 'nu metal', 'rap rock', 'rock', 'supergroup']",6CqYhhUPJORx1vvdTNc8jv,246000.0,0.328,0.000111,0.843,0.801,0.0496,0.422,-6.644,0.0887,113.329,6.0,4.0
A.O.,Long Live the King - Instrumental,3,1,[],7srxETFGjsCQHuoXkaPkhm,211268.0,0.748,0.0603,0.846,0.898,0.136,0.872,-6.322,0.0352,100.006,1.0,4.0
ABBA,"Money, Money, Money",0,1,"['europop', 'swedish pop']",3lKN03PDeBnXZS7sDukRBt,186426.0,0.787,0.535,0.704,0.00305,0.089,0.646,-6.873,0.0385,120.701,9.0,4.0
AC/DC,Whole Lotta Rosie,333,1,"['australian rock', 'hard rock', 'rock']",4wYq5wugZDzQiMZQYG4wVB,333800.0,0.292,0.0014,0.838,0.479,0.0953,0.423,-4.459,0.078,159.176,9.0,4.0
ACN Music.,Guts,216,1,[],75KOwLDScYAujfw5BZGZUP,216317.0,0.422,0.756,0.251,0.843,0.137,0.0664,-14.488,0.0308,139.671,4.0,4.0
AFI,Miss Murder,206,1,"['emo', 'pop punk', 'punk', 'screamo', 'skate punk']",0Ti2dlF2xLjXblvdU5fCxM,206586.0,0.308,0.00022,0.873,0.000729,0.0974,0.686,-4.542,0.0533,143.519,8.0,4.0
ATK,7ème sens,0,1,"['french hip hop', 'old school rap francais', 'rap inde']",4S0LWtzCfV9RXo8T0F0lcu,242506.0,0.853,0.5,0.768,0.0,0.104,0.64,-6.458,0.267,90.032,8.0,4.0
ATK,Qu'est-ce que tu deviens,1,1,"['french hip hop', 'old school rap francais', 'rap inde']",,,,,,,,,,,,,
Aaron Copland,4 Dance Episodes from Rodeo: I. Buckaroo Holiday,418,1,"['american modern classical', 'classical', 'early modern classical']",0pAYJ4WaB7MzlH8YxfZAnM,418173.0,0.402,0.938,0.413,0.873,0.367,0.291,-13.347,0.0638,128.917,5.0,4.0
Aaron Copland,4 Dance Episodes from Rodeo: II. Corral Nocturne,239,1,"['american modern classical', 'classical', 'early modern classical']",2NtI7K97QkiyJMetBtJy8h,239173.0,0.106,0.933,0.0433,0.903,0.0841,0.0375,-24.867,0.0477,91.95,0.0,3.0
Aaron Copland,4 Dance Episodes from Rodeo: III. Saturday Night Waltz,249,1,"['american modern classical', 'classical', 'early modern classical']",54zxnRdsOYhKoj5CjB7Tz1,283760.0,0.162,0.97,0.015,0.897,0.164,0.106,-30.416,0.044,136.55,3.0,5.0
Aaron Copland,4 Dance Episodes from Rodeo: IV. Hoe Down,398,2,"['american modern classical', 'classical', 'early modern classical']",0ZdliwFyLsOCfD6hPSgoXX,212800.0,0.45,0.914,0.266,0.919,0.0485,0.451,-17.195,0.0393,116.322,2.0,4.0
Aaron Copland,Appalachian Spring - 1945 Suite: 1. Very slowly,174,1,"['american modern classical', 'classical', 'early modern classical']",3g98x0UrsfWzpiRR2gmLtR,174800.0,0.0655,0.953,0.0137,0.824,0.108,0.0328,-34.624,0.0498,71.339,9.0,4.0
Aaron Copland,Appalachian Spring: I. Very Slowly,162,1,"['american modern classical', 'classical', 'early modern classical']",0n3hKCBizwg7LKRpy1Iz5R,162226.0,0.155,0.986,0.0266,0.914,0.0887,0.0364,-30.833,0.0481,78.41,9.0,4.0
Aaron Copland,Appalachian Spring: II. Allegro,162,1,"['american modern classical', 'classical', 'early modern classical']",15n7pbeQbg1vHjb1euRMIA,162533.0,0.432,0.969,0.378,0.828,0.189,0.2,-13.299,0.0543,82.208,5.0,4.0
Aaron Copland,Appalachian Spring: III. Moderato,231,1,"['american modern classical', 'classical', 'early modern classical']",76mNq1Fz3Kt3nVo9DWn9bc,231640.0,0.0766,0.977,0.0289,0.91,0.184,0.0346,-24.189,0.0442,177.179,6.0,4.0
Aaron Copland,Appalachian Spring: IV. Quite Fast,214,1,"['american modern classical', 'classical', 'early modern classical']",4NRm9G74hT0UHKYw8NjZXs,214293.0,0.374,0.968,0.27,0.934,0.242,0.259,-15.228,0.039,126.543,4.0,4.0
Aaron Copland,Appalachian Spring: V. Subito allegro,223,1,"['american modern classical', 'classical', 'early modern classical']",3pnJgZl6DWbh9isyTGapZs,223840.0,0.321,0.964,0.274,0.91,0.0728,0.183,-15.28,0.0572,92.289,0.0,3.0
Aaron Copland,Appalachian Spring: VI. Meno mosso,74,1,"['american modern classical', 'classical', 'early modern classical']",4RWDo1k9q68hfL1LKXvMhp,74400.0,0.135,0.918,0.0179,0.687,0.11,0.0349,-34.134,0.0447,143.091,8.0,3.0
Aaron Copland,Appalachian Spring: VII. Doppio movimento,183,1,"['american modern classical', 'classical', 'early modern classical']",6vS8JCT9WqTFeAuu8smjRF,183266.0,0.186,0.978,0.124,0.865,0.111,0.248,-15.271,0.0434,77.903,1.0,4.0
Aaron Copland,Appalachian Spring: VIII. Coda. Moderato,225,2,"['american modern classical', 'classical', 'early modern classical']",1UftL8uD69QQvpemEyxJ5h,220133.0,0.15,0.946,0.0116,0.952,0.107,0.0386,-30.681,0.0496,105.51,0.0,4.0
Aaron Copland,Billy the Kid Suite: I. Introduction. The Open Prairie,193,1,"['american modern classical', 'classical', 'early modern classical']",5CN2WmOmZR2g9fmiFyqjo5,193800.0,0.225,0.92,0.155,0.899,0.634,0.0773,-16.454,0.0366,58.467,0.0,3.0
Aaron Copland,Billy the Kid Suite: II. Street in a Frontier Town,202,1,"['american modern classical', 'classical', 'early modern classical']",3wm9GFW1QADI1hkyM8yCl1,202573.0,0.536,0.954,0.266,0.928,0.499,0.311,-14.261,0.0579,126.629,5.0,4.0
Aaron Copland,Billy the Kid Suite: III. Mexican Dance and Finale,189,1,"['american modern classical', 'classical', 'early modern classical']",2DlLMfTBwWYF04W2utj6BR,189893.0,0.297,0.925,0.323,0.9,0.313,0.278,-13.847,0.0395,141.199,0.0,3.0
Aaron Copland,Billy the Kid Suite: IV. Prairie Night. Card Game at Night,192,1,"['american modern classical', 'classical', 'early modern classical']",4GTydZXyOjGW8BDqoc8xhx,192093.0,0.17,0.965,0.0298,0.936,0.114,0.0419,-28.942,0.0476,112.532,5.0,3.0
Aaron Copland,Billy the Kid Suite: V. Gun Battle,109,1,"['american modern classical', 'classical', 'early modern classical']",0eH4fp5Bmx0NSEnYkujtMH,109400.0,0.471,0.924,0.444,0.919,0.0902,0.402,-17.576,0.144,165.972,9.0,3.0
Aaron Copland,Billy the Kid Suite: VI. Celebration. After Billy's Capture,141,1,"['american modern classical', 'classical', 'early modern classical']",5Kb7R7IhbMcZA1dNJs2Axx,141266.0,0.432,0.875,0.534,0.77,0.443,0.584,-13.754,0.253,170.541,0.0,4.0
Aaron Copland,Billy the Kid Suite: VII. Billy's Death,79,1,"['american modern classical', 'classical', 'early modern classical']",7iLHKebtiLQvsGiWWvaZSz,79266.0,0.234,0.356,0.131,0.765,0.419,0.0389,-22.389,0.042,58.516,7.0,3.0
Aaron Copland,Billy the Kid Suite: VIII. The Open Prairie Again,107,1,"['american modern classical', 'classical', 'early modern classical']",69jwBDOstHb9BTr2j4kA1a,107400.0,0.225,0.907,0.282,0.903,0.531,0.117,-12.4,0.0316,71.502,0.0,4.0
Aaron Copland,Clarinet Concerto: 1. Slowly And Expressively,527,1,"['american modern classical', 'classical', 'early modern classical']",4zBBFo3dhhH7U43ha9xH1L,527346.0,0.169,0.962,0.0125,0.356,0.209,0.0407,-26.094,0.0542,82.774,5.0,3.0
Aaron Copland,Clarinet Concerto: I. Slowly and Expressively,450,1,"['american modern classical', 'classical', 'early modern classical']",4K1pQ2dN4EobgXC7ZeRCq2,567333.0,0.134,0.955,0.0191,0.311,0.0838,0.039,-25.703,0.0473,79.469,2.0,4.0
Aaron Copland,Down a Country Lane,174,1,"['american modern classical', 'classical', 'early modern classical']",4Cw6gKuSNwnacI4RxGyGy2,174000.0,0.0639,0.989,0.0555,0.845,0.113,0.0375,-21.05,0.0487,70.231,5.0,3.0
Aaron Copland,Fanfare for the Common Man,123,1,"['american modern classical', 'classical', 'early modern classical']",294IzNQIRp4soeVaQhows7,167160.0,0.223,0.984,0.165,0.95,0.348,0.0518,-16.394,0.0504,73.463,10.0,5.0
