artistName,trackName,sPlayed,count,genres,trackId,duration,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,kmeans
Ayreon,Comatose,384,3,"['celtic metal', 'dutch metal', 'metal', 'neo classical metal', 'power metal', 'prog metal', 'progressive metal', 'sci-fi metal', 'symphonic metal']",0HTQtARn5UftPeRb68SLiR,266653.0,0.326,0.245,0.442,0.539,0.111,0.209,-14.63,0.0815,98.975,1
Deep Purple,Soldier Of Fortune - 2009 Digital Remaster,1224,6,"['album rock', 'blues rock', 'classic rock', 'hard rock', 'metal', 'rock']",60ifqqPhbselSwXyGrGyMK,204880.0,0.533,0.386,0.313,4.64e-06,0.0868,0.225,-13.007,0.0298,133.615,1
Diablo Swing Orchestra,Gunpowder Chant,1321,13,"['jazz metal', 'opera metal', 'steampunk', 'swedish metal', 'symphonic metal']",4iTKyzPIsBXEBKQSbROgrE,110800.0,0.227,0.255,0.623,0.499,0.42,0.121,-8.41,0.0367,82.03,1
Igorrr,Dentist,41,2,"['avant-garde metal', 'breakcore', 'cybergrind', 'french metal', 'opera metal']",39d9jIRimICOgyt9O49FNK,41465.0,0.471,0.532,0.987,0.924,0.274,0.339,-8.808,0.0409,90.004,1
Motörhead,Love Me Forever,654,2,"['album rock', 'alternative metal', 'hard rock', 'metal', 'rock', 'speed metal']",7akyedgeVgZeT6oD77nyHn,327546.0,0.233,0.459,0.706,0.0147,0.159,0.255,-7.445,0.0511,125.694,1
Opeth,Soldier of Fortune,831,5,"['alternative metal', 'metal', 'progressive death metal', 'progressive metal', 'rock', 'swedish metal', 'swedish progressive metal']",0TN3CFZuYzAWQCV9N3pVPN,208520.0,0.475,0.595,0.385,0.000267,0.131,0.183,-8.675,0.0317,134.368,1
Opeth,To Bid You Farewell,1308,2,"['alternative metal', 'metal', 'progressive death metal', 'progressive metal', 'rock', 'swedish metal', 'swedish progressive metal']",7zUf7gPC7vYpVuN9pNuXRj,654413.0,0.387,0.45,0.314,0.445,0.15,0.193,-11.956,0.0298,75.148,1
Opeth,Will O the Wisp,1228,4,"['alternative metal', 'metal', 'progressive death metal', 'progressive metal', 'rock', 'swedish metal', 'swedish progressive metal']",7KEkS7cnnRcEm95Q3Ctk3N,307786.0,0.193,0.317,0.374,0.0015,0.148,0.227,-12.247,0.0323,63.353,1
Rainbow,The Temple Of The King,1129,5,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock']",0gaMmmhGi5buPXpquSAfxg,282013.0,0.486,0.445,0.487,1.44e-05,0.0648,0.373,-11.633,0.0341,81.972,1
Rhapsody Of Fire,The Magic of the Wizard's Dream (English Version),444,2,"['italian folk metal', 'italian metal', 'italian power metal', 'melodic metal', 'neo classical metal', 'power metal', 'symphonic metal']",1DH9pHPoBQ1YJRbzuFfnhV,222333.0,0.417,0.543,0.511,0.000369,0.0984,0.168,-6.144,0.028,73.996,1
Scorpions,Send Me An Angel,819,3,"['album rock', 'german hard rock', 'german metal', 'german rock', 'hard rock', 'metal', 'rock']",1bKQ48M9onID2kbSpRy8kK,273333.0,0.153,0.434,0.417,0.000622,0.211,0.166,-11.587,0.0318,80.87,1
Scorpions,Wind Of Change,624,2,"['album rock', 'german hard rock', 'german metal', 'german rock', 'hard rock', 'metal', 'rock']",3ovjw5HZZv43SxTwApooCM,312360.0,0.452,0.315,0.524,0.0,0.103,0.246,-10.108,0.0351,151.505,1
Whitechapel,Hickory Creek - Acoustic,238,2,"['deathcore', 'melodic metalcore', 'metalcore', 'tennessee metal']",6y7roA6dG7c2KObmYKfmUh,238618.0,0.549,0.555,0.384,0.00052,0.082,0.239,-8.184,0.0433,116.261,1
