artistName,trackName,sPlayed,count,genres,trackId,duration,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,kmeans
Adrenaline Mob,Indifferent,1083,5,"['modern hard rock', 'nyc metal', 'progressive metal']",3IBcawxtluA9oIlWZfosCO,270480.0,0.539,2.86e-05,0.968,6.65e-05,0.26,0.357,-3.582,0.121,131.996,1.0,4.0,3
Avatar,Lullaby (Death All Over),6569,16,"['alternative metal', 'gothenburg metal', 'melodic death metal', 'nu metal', 'swedish melodeath']",6inOYamQomVWpBSQn6e04l,466400.0,0.217,3.67e-05,0.96,0.605,0.396,0.0975,-4.071,0.121,101.219,8.0,3.0,3
Avatar,Pigfucker,478,5,"['alternative metal', 'gothenburg metal', 'melodic death metal', 'nu metal', 'swedish melodeath']",1uB7URk3jgYibO3QQjEdBg,122786.0,0.238,5.34e-06,0.952,0.812,0.148,0.324,-4.373,0.113,190.049,3.0,4.0,3
Avatar,The Great Pretender,964,4,"['alternative metal', 'gothenburg metal', 'melodic death metal', 'nu metal', 'swedish melodeath']",15jJVx4ogOyebAhpoBGAs8,241826.0,0.242,1.9e-05,0.966,0.00214,0.358,0.359,-3.543,0.12,91.081,0.0,4.0,3
Christopher Lee,The Betrayal,926,4,"['comic metal', 'middle earth']",1jFuBDLPy52pWF4VdaZNb4,301987.0,0.363,0.124,0.497,0.000285,0.0752,0.338,-13.107,0.182,103.212,9.0,4.0,3
Diablo Swing Orchestra,Black Box Messiah,367,4,"['jazz metal', 'opera metal', 'steampunk', 'swedish metal', 'symphonic metal']",4z4lmHZnpBsfmc5Bgg7pGN,177280.0,0.415,3.71e-05,0.997,0.801,0.147,0.392,-2.438,0.186,180.061,0.0,4.0,3
Diablo Swing Orchestra,Poetic Pitbull Revolution,2655,10,"['jazz metal', 'opera metal', 'steampunk', 'swedish metal', 'symphonic metal']",22L0zn10xTEYdeH6gG6fbT,291706.0,0.335,0.000229,0.958,0.0103,0.357,0.363,-5.861,0.11,134.864,11.0,4.0,3
Diablo Swing Orchestra,Voodoo mon amour,814,4,"['jazz metal', 'opera metal', 'steampunk', 'swedish metal', 'symphonic metal']",4xtuYNdQyVWgVS7AQBGbSP,271520.0,0.544,0.000973,0.982,0.661,0.43,0.374,-2.284,0.174,100.081,8.0,4.0,3
Insomnium,Through The Shadow,1088,4,"['finnish death metal', 'finnish melodeath', 'finnish metal', 'melodic death metal', 'metal']",4bOX3KfGgQE1GkxxJ3OUtI,272600.0,0.416,3.37e-06,0.972,4.06e-05,0.314,0.157,-4.966,0.112,122.487,5.0,4.0,3
Iron Maiden,Death or Glory,2184,8,"['album rock', 'hard rock', 'metal', 'nwobhm', 'rock']",7owsQDXB7wAwygcbhTVLYf,312867.0,0.181,0.000365,0.974,3.47e-05,0.364,0.316,-5.493,0.162,176.088,9.0,4.0,3
Iron Maiden,Purgatory - 2015 Remaster,441,4,"['album rock', 'hard rock', 'metal', 'nwobhm', 'rock']",50W4g2UgayD7s3ixmEVQen,200560.0,0.29,0.000916,0.965,0.0409,0.762,0.531,-6.146,0.147,70.711,11.0,4.0,3
Iron Maiden,Shadows of the Valley,1824,5,"['album rock', 'hard rock', 'metal', 'nwobhm', 'rock']",5zXnC4ap6NsabqMjiswVn0,452478.0,0.231,0.00174,0.977,3.84e-05,0.111,0.284,-4.918,0.11,149.675,4.0,4.0,3
Iron Maiden,Speed of Light,2828,10,"['album rock', 'hard rock', 'metal', 'nwobhm', 'rock']",1smvmwmbrQiBwgJZMxVtup,301745.0,0.176,0.000419,0.974,2.62e-05,0.107,0.334,-5.778,0.132,185.491,7.0,4.0,3
Iron Maiden,The Evil That Men Do - 2015 Remaster,1096,4,"['album rock', 'hard rock', 'metal', 'nwobhm', 'rock']",0S90LE5Z8FOdbui3tLak6t,274213.0,0.255,0.00852,0.977,2.8e-06,0.0776,0.31,-4.672,0.11,161.738,4.0,4.0,3
Iron Maiden,The Great Unknown,2382,7,"['album rock', 'hard rock', 'metal', 'nwobhm', 'rock']",4l2vvgosC9Fjd7S6Ofwl3B,397655.0,0.211,0.0195,0.897,0.000189,0.108,0.0702,-6.629,0.201,92.082,2.0,4.0,3
Iron Maiden,The Wicker Man - 2015 Remaster,1100,4,"['album rock', 'hard rock', 'metal', 'nwobhm', 'rock']",1diuZVsxD74xvtUSABRUoF,275253.0,0.424,0.000855,0.98,5.72e-06,0.129,0.296,-4.33,0.154,101.502,4.0,4.0,3
Iron Maiden,These Colours Don't Run - 2015 Remaster,1648,5,"['album rock', 'hard rock', 'metal', 'nwobhm', 'rock']",5qG0kQf4fFFCeavzUAwAC7,412213.0,0.317,0.00573,0.94,0.0033,0.112,0.228,-5.33,0.114,103.396,4.0,4.0,3
Lamb of God,Blacken the Cursed Sun,1034,5,"['alternative metal', 'groove metal', 'melodic metalcore', 'metal', 'nu metal', 'virginia metal']",7gNqCN4EK3B0mnklBp7EqP,328200.0,0.401,3.68e-05,0.995,0.00128,0.176,0.112,-2.831,0.118,116.444,6.0,3.0,3
Lamb of God,The Faded Line,831,4,"['alternative metal', 'groove metal', 'melodic metalcore', 'metal', 'nu metal', 'virginia metal']",46WIf1TzfOl4jfaWbGn9QT,277727.0,0.352,0.000859,0.985,0.0163,0.339,0.113,-3.263,0.175,107.092,2.0,4.0,3
