artistName,sPlayed,count,genres
-M-,46,1,[]
1900,300,1,[]
1995,80,1,"['french hip hop', 'french pop', 'rap inde']"
3TEETH,271,1,"['industrial metal', 'industrial rock']"
9mm Parabellum Bullet,94,1,"['j-metal', 'j-pop', 'j-poprock', 'j-rock', 'japanese alternative rock', 'japanese post-hardcore', 'visual kei']"
A Perfect Circle,789,3,"['alternative metal', 'alternative rock', 'nu metal', 'rap rock', 'rock', 'supergroup']"
A.O.,3,1,[]
ABBA,0,1,"['europop', 'swedish pop']"
AC/DC,333,1,"['australian rock', 'hard rock', 'rock']"
ACN Music.,216,1,[]
AFI,206,1,"['emo', 'pop punk', 'punk', 'screamo', 'skate punk']"
ATK,1,2,"['french hip hop', 'old school rap francais', 'rap inde']"
Aaron Copland,6057,29,"['american modern classical', 'classical', 'early modern classical']"
Abd Al Malik,572,4,['french hip hop']
Accept,299,1,"['album rock', 'german heavy metal', 'german metal', 'glam metal', 'hard rock', 'metal', 'power metal', 'rock', 'speed metal', 'thrash metal']"
Acherontic Dawn,230,1,['epicore']
Adam Skorupa,4895,17,"['scorecore', 'video game music']"
Adelitas Way,190,1,"['alternative metal', 'christian rock', 'gymcore', 'nu metal', 'post-grunge', 'post-screamo', 'rap rock']"
Adrenaline Mob,1083,5,"['modern hard rock', 'nyc metal', 'progressive metal']"
Adrian Von Ziegler,334,1,"['dungeon synth', 'medieval folk']"
Adriatique,926,2,"['deep disco house', 'melodic techno', 'organic house', 'swiss house', 'tech house']"
After Forever,276,1,"['dutch metal', 'gothic metal', 'gothic symphonic metal', 'opera metal', 'symphonic metal']"
Agents Of Time,9168,29,['italian techno']
Airbourne,607,4,"['glam metal', 'hard rock', 'metal', 'rock', 'wrestling']"
Akatsuki no Team,22,1,[]
Akhenaton,46938,225,"['french hip hop', 'french reggae', 'old school rap francais', 'rap conscient', 'rap inde', 'rap marseille']"
Akihiro Manabe,7,1,['anime score']
Alain Bashung,344,8,"['chanson', 'french indie pop', 'french pop', 'french rock', 'nouvelle chanson francaise']"
Alan Silvestri,72,1,['soundtrack']
Albert King,3584,21,"['blues', 'blues rock', 'classic rock', 'electric blues', 'memphis soul', 'soul blues', 'traditional blues']"
Alcest,830,2,"['atmospheric black metal', 'blackgaze', 'french black metal', 'french metal', 'french shoegaze', 'post-black metal', 'post-metal', 'shoegaze']"
Aldous Harding,448,2,"['ambient folk', 'art pop', 'chamber pop', 'chamber psych', 'dunedin indie', 'freak folk', 'indie folk', 'nz folk', 'nz pop', 'nz singer-songwriter']"
Alec Holowka,288,2,['indie game soundtrack']
Alestorm,23,1,"['british power metal', 'comic', 'comic metal', 'metal', 'pirate', 'power metal', 'scottish metal']"
Alexandre Astier,127,1,[]
Alice In Chains,259,1,"['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'nu metal', 'rock']"
Alice Phoebe Lou,235,1,['south african alternative']
Alien Ant Farm,221,2,"['alternative metal', 'funk metal', 'nu metal', 'post-grunge', 'rap rock']"
Alistair McCulloch,202,1,['scottish fiddle']
Alpha Wann,365,3,"['french hip hop', 'pop urbaine', 'rap francais']"
Alt236,71775,353,[]
Alter Bridge,4934,20,"['alternative metal', 'nu metal', 'post-grunge', 'rock']"
Amy Winehouse,278,4,"['british soul', 'neo soul']"
Anathema,489,2,"['gothic metal', 'progressive doom', 'progressive metal']"
Andrew Bird,413,2,"['baroque pop', 'chamber pop', 'chicago indie', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'melancholia', 'stomp and holler']"
Andrew Jannakos,169,1,['contemporary country']
Andrew Prahlow,13528,83,"['epicore', 'video game music']"
Andy Williams,192,1,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'mellow gold', 'vocal jazz']"
Ane Brun,140,2,"['melancholia', 'norwegian singer-songwriter']"
Anna German,2141,15,"['classic russian pop', 'russian folk']"
Anna Moor,96,1,[]
Anne Sylvestre,60,5,['chanson']
Annwn,243,1,"['medieval folk', 'medieval rock', 'neoclassical darkwave', 'rune folk']"
Anthrax,261,2,"['album rock', 'alternative metal', 'hard rock', 'metal', 'nu metal', 'old school thrash', 'rap metal', 'rock', 'speed metal', 'thrash metal']"
Antonio Vivaldi,125,1,"['baroque', 'classical', 'early music', 'italian baroque']"
Anúna,229,1,['celtic']
Aperture Science Psychoacoustic Laboratories,475,3,['video game music']
Aphex Twin,177,2,"['ambient', 'braindance', 'electronica', 'intelligent dance music', 'uk experimental electronic']"
Apocalyptica,1750,9,"['alternative metal', 'bow pop', 'cello', 'finnish metal', 'symphonic metal']"
April Verch,14,1,['old-time fiddle']
Aram Khachaturian,629,3,"['caucasian classical', 'classical', 'early modern classical', 'russian modern classical']"
Architects,62,1,"['mathcore', 'melodic metalcore', 'metalcore', 'progressive metalcore', 'uk metalcore']"
Arctic Monkeys,13415,70,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']"
Arnaud Roy,200,1,['video game music']
Arno,495,4,"['belgian blues', 'belgian rock', 'classic belgian pop']"
Art Hirahara,500,2,[]
Artesia,253,1,"['ethereal wave', 'medieval folk', 'neoclassical darkwave', 'rune folk']"
Arthur H,1,1,"['chanson', 'french indie pop', 'french pop', 'french rock', 'nouvelle chanson francaise']"
Asi Kaplan Jazz Band,1750,5,['background jazz']
Astoria Three,384,2,['background jazz']
Audioslave,570,2,"['alternative metal', 'alternative rock', 'nu metal', 'permanent wave', 'post-grunge', 'rock', 'supergroup']"
August D. Valentine,1120,8,"['calming instrumental', 'chill guitar']"
Austin Wintory,10801,65,"['indie game soundtrack', 'japanese vgm', 'scorecore', 'soundtrack', 'video game music']"
Avatar,23590,94,"['alternative metal', 'gothenburg metal', 'melodic death metal', 'nu metal', 'swedish melodeath']"
Avenged Sevenfold,1447,5,"['alternative metal', 'nu metal']"
Axel Rudi Pell,303,1,"['german metal', 'german power metal', 'hard rock', 'metal', 'power metal']"
Ayreon,1630,7,"['celtic metal', 'dutch metal', 'metal', 'neo classical metal', 'power metal', 'prog metal', 'progressive metal', 'sci-fi metal', 'symphonic metal']"
B.B. King,30590,114,"['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul blues', 'traditional blues']"
BRKN LOVE,122,1,[]
Back Room Jazz Trio,396,1,[]
Bad Religion,197,1,"['punk', 'skate punk', 'socal pop punk']"
Bakermat,944,6,"['deep euro house', 'deep tropical house', 'minimal tech house', 'new french touch', 'pop dance', 'tropical house']"
Baroness,897,4,"['alternative metal', 'post-doom metal', 'progressive sludge', 'sludge metal']"
Bathory,334,1,"['autonomous black metal', 'black metal', 'black thrash', 'metal', 'old school thrash', 'pagan black metal', 'swedish black metal', 'swedish metal', 'viking black metal', 'viking metal']"
Bear McCreary,246,1,"['scorecore', 'soundtrack', 'video game music']"
Beck,202,1,"['alternative rock', 'anti-folk', 'indie rock', 'modern rock', 'permanent wave', 'rock']"
Behemoth,301,1,"['black metal', 'death metal', 'metal', 'pagan black metal', 'polish black metal', 'polish death metal', 'polish metal']"
Bell Orchestre,274,1,"['bow pop', 'canadian post-rock', 'chamber psych']"
Belzebubs,603,2,['melodic black metal']
Ben Prunty,21432,114,"['indie game soundtrack', 'video game music']"
Benjamin Rhey,2900,14,[]
Berlinist,9726,66,['video game music']
Bert Kaempfert,17,1,"['adult standards', 'ballroom', 'easy listening', 'lounge']"
Bill Brown,1080,10,['video game music']
Bill Conti,3,1,"['classic soundtrack', 'theme']"
Billie Holiday,338,2,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'lounge', 'soul', 'torch song', 'vocal jazz']"
Billy Talent,242,1,"['alternative metal', 'canadian punk', 'nu metal', 'pop punk', 'punk']"
Black Label Society,780,4,"['alternative metal', 'groove metal', 'hard rock', 'metal', 'nu metal', 'rock']"
Black Sabbath,2689,13,"['album rock', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'rock', 'stoner rock', 'uk doom metal']"
Blackmore's Night,371,1,"['bardcore', 'medieval folk', 'neoclassical darkwave']"
Bladverk Band,888,5,"['background jazz', 'dinner jazz']"
Blind Guardian,14724,84,"['german metal', 'german power metal', 'hard rock', 'melodic metal', 'metal', 'neo classical metal', 'power metal', 'speed metal', 'symphonic metal']"
Bloodhound Gang,219,1,"['alternative metal', 'comic', 'funk metal', 'funk rock', 'nu metal', 'punk', 'rap rock']"
Blue Moon Jazz Quartet,602,2,[]
Blue Öyster Cult,593,2,"['album rock', 'art rock', 'classic rock', 'hard rock', 'metal', 'rock', 'soft rock']"
Bob & Earl,4,1,['motown']
Bobby Darin,172,1,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'soul', 'swing', 'vocal jazz']"
Bobby Vinton,167,1,"['adult standards', 'brill building pop', 'bubblegum pop', 'easy listening', 'lounge', 'rock-and-roll']"
Bonnie Grace,3904,27,[]
Boris Dlugosch,406,1,"['german house', 'hamburg electronic']"
Boris Vian,207,1,[]
Borislav Slavov,206160,1193,"['epicore', 'scorecore', 'video game music']"
Brad Derrick,8889,31,"['scorecore', 'video game music']"
Bram Stoker,6,1,['reading']
Braxton Burks,351,2,"['otacore', 'pokemon', 'scorecore']"
Breaking Benjamin,634,5,"['alternative metal', 'nu metal', 'post-grunge']"
Breed 77,330,1,"['alternative metal', 'nu metal', 'rock of gibraltar']"
Brendan Maynard + 2,321,2,[]
Brendon Small,21,1,['shred']
Brian Tyler,1,1,"['epicore', 'scorecore', 'soundtrack', 'video game music']"
Broceliande,337,1,['middle earth']
Bror Gunnar Jansson,465,2,"['modern blues rock', 'one-person band', 'swedish americana', 'swedish blues']"
Brothers of Metal,6,1,"['melodic metal', 'power metal', 'swedish heavy metal']"
Bruce Dickinson,1749,7,"['album rock', 'hard rock', 'metal', 'power metal', 'rock']"
Bruce Springsteen,409,1,"['classic rock', 'heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']"
Brut.,7,1,[]
Bullet For My Valentine,291,1,"['alternative metal', 'melodic metalcore', 'metalcore', 'nu metal', 'pop punk', 'uk metalcore', 'welsh metal']"
Bérurier Noir,2,1,"['french oi', 'french punk', 'french reggae', 'french rock']"
C418,4878,27,"['dream smp', 'minecraft']"
CMC 3,745,4,"['background jazz', 'dinner jazz']"
Camille Saint-Saëns,202,1,"['classical', 'french romanticism', 'late romantic era']"
Captain Isekai,128,1,['anime lo-fi']
Carly Pearce,328,2,"['contemporary country', 'country pop']"
Carpenter Brut,597,3,"['cyberpunk', 'darksynth', 'synthwave']"
Casseurs Flowters,231,1,"['french hip hop', 'rap conscient']"
Cattle Decapitation,268,1,"['american grindcore', 'brutal death metal', 'death metal', 'deathgrind', 'goregrind', 'grindcore', 'technical death metal', 'technical grindcore']"
Celldweller,302,1,"['alternative metal', 'future rock', 'industrial metal', 'industrial rock', 'nu metal', 'rap rock']"
Chance Thomas,207,1,"['middle earth', 'video game music']"
Charlotte Cardin,13,1,"['canadian pop', 'indie quebecois']"
Chase Rice,214,2,"['contemporary country', 'country', 'country road', 'modern country rock']"
Chet Baker,332,2,"['adult standards', 'cool jazz', 'jazz', 'jazz trumpet', 'lounge', 'vocal jazz']"
Chevelle,218,1,"['alternative metal', 'alternative rock', 'christian rock', 'modern rock', 'nu metal', 'post-grunge', 'rap rock', 'rock']"
Chiens de Paille,519,3,"['french hip hop', 'old school rap francais', 'rap inde', 'rap marseille']"
Chipzel,2758,15,"['chiptune', 'speedrun']"
Chris Christodoulou,13689,50,"['indie game soundtrack', 'video game music']"
Chris Remo,214,1,"['indie game soundtrack', 'video game music']"
Chris Stapleton,238,3,"['contemporary country', 'outlaw country']"
Christian Reindl,1383,7,['epicore']
Christoffer Moe Ditlevsen,2910,14,[]
Christophe,349,2,"['chanson', 'french pop', 'french rock', 'vintage french electronic']"
Christopher Larkin,135348,894,"['indie game soundtrack', 'oceania soundtrack', 'video game music']"
Christopher Lee,15351,69,"['comic metal', 'middle earth']"
Christopher Tin,1162,6,['video game music']
Cinematic Lullabies,40,1,[]
City of the Fallen,114,1,['epicore']
Clamavi De Profundis,54967,176,"['middle earth', 'shanty']"
Claude Debussy,1281,5,"['classical', 'impressionism', 'post-romantic era']"
Colette Magny,1,1,[]
Comptines TV,72,1,"['comptine', 'musique pour enfants']"
ConcernedApe,9047,59,"['indie game soundtrack', 'video game music']"
Corey Taylor,290,1,"['alternative metal', 'alternative rock', 'nu metal']"
Corpo-Mente,494,2,['avant-rock']
Corvus Corax,271,1,"['folk metal', 'hurdy-gurdy', 'medieval folk', 'medieval rock', 'rune folk']"
Cotton Jones,192,1,"['baroque pop', 'freak folk', 'indie folk', 'indie rock', 'stomp and holler']"
Cream,1541,9,"['album rock', 'art rock', 'blues rock', 'classic rock', 'folk rock', 'hard rock', 'psychedelic rock', 'rock', 'roots rock', 'supergroup']"
"Crosby, Stills & Nash",157,1,"['album rock', 'art rock', 'blues rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock']"
"Crosby, Stills, Nash & Young",625,3,"['album rock', 'art rock', 'blues rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock', 'supergroup']"
Cruachan,279,1,"['celtic metal', 'celtic rock', 'folk black metal', 'folk metal', 'irish black metal', 'irish metal', 'viking metal']"
