artistName,trackName,sPlayed,count,genres,trackId,duration,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
3TEETH,PUMPED UP KICKS,271,1,"['industrial metal', 'industrial rock']",2jtHoahMaDTkdplWVboumX,271666.0,0.464,0.00143,0.92,0.114,0.343,0.266,-5.673,0.0432,91.04,10.0,4.0
9mm Parabellum Bullet,インフェルノ,94,1,"['j-metal', 'j-pop', 'j-poprock', 'j-rock', 'japanese alternative rock', 'japanese post-hardcore', 'visual kei']",3pQ0zUFOi4e1KZ8yQkeD42,94706.0,0.282,0.000101,0.973,0.000611,0.262,0.44,-2.963,0.12,195.042,1.0,3.0
A Perfect Circle,Passive,250,1,"['alternative metal', 'alternative rock', 'nu metal', 'rap rock', 'rock', 'supergroup']",7slyp653Si99N4yQcJ2E9T,250173.0,0.445,0.00112,0.708,0.0104,0.0982,0.119,-6.207,0.0343,86.875,5.0,4.0
A Perfect Circle,The Noose,293,1,"['alternative metal', 'alternative rock', 'nu metal', 'rap rock', 'rock', 'supergroup']",6lvNLD1XRU5paMwWH0RGRI,293173.0,0.679,0.0695,0.409,0.265,0.079,0.31,-10.41,0.0313,131.983,1.0,4.0
A Perfect Circle,The Outsider,246,1,"['alternative metal', 'alternative rock', 'nu metal', 'rap rock', 'rock', 'supergroup']",6CqYhhUPJORx1vvdTNc8jv,246000.0,0.328,0.000111,0.843,0.801,0.0496,0.422,-6.644,0.0887,113.329,6.0,4.0
Accept,Koolaid,299,1,"['album rock', 'german heavy metal', 'german metal', 'glam metal', 'hard rock', 'metal', 'power metal', 'rock', 'speed metal', 'thrash metal']",249XHhBxBOblTCYStaC27L,299720.0,0.548,0.000429,0.904,0.0842,0.37,0.342,-5.197,0.03,129.016,11.0,4.0
Adelitas Way,Invincible,190,1,"['alternative metal', 'christian rock', 'gymcore', 'nu metal', 'post-grunge', 'post-screamo', 'rap rock']",4FthwGFz9SVZgCVqxNXsSK,190133.0,0.405,0.000213,0.962,2.31e-06,0.108,0.489,-4.894,0.0842,170.023,11.0,4.0
Adrenaline Mob,Indifferent,1083,5,"['modern hard rock', 'nyc metal', 'progressive metal']",3IBcawxtluA9oIlWZfosCO,270480.0,0.539,2.86e-05,0.968,6.65e-05,0.26,0.357,-3.582,0.121,131.996,1.0,4.0
After Forever,Discord,276,1,"['dutch metal', 'gothic metal', 'gothic symphonic metal', 'opera metal', 'symphonic metal']",7FVl7greWdX25f1cMUiFR8,276871.0,0.468,0.000121,0.884,0.0745,0.138,0.197,-4.307,0.0463,119.956,7.0,4.0
Airbourne,Breakin' Outta Hell,232,1,"['glam metal', 'hard rock', 'metal', 'rock', 'wrestling']",3HFqO1Khvk1pdmhjz3tXsk,232425.0,0.429,4.65e-05,0.993,0.762,0.163,0.256,-2.772,0.157,172.08,2.0,4.0
Airbourne,Runnin' Wild,88,1,"['glam metal', 'hard rock', 'metal', 'rock', 'wrestling']",1wXuogT7bvqnhuWzDBNOdV,218040.0,0.503,9.25e-05,0.96,0.578,0.274,0.489,-2.672,0.0626,162.022,10.0,4.0
Airbourne,"Too Much, Too Young, Too Fast",287,2,"['glam metal', 'hard rock', 'metal', 'rock', 'wrestling']",6fhpnwCBLVamyD7gkZhXjt,224773.0,0.592,0.0014,0.813,0.000966,0.336,0.384,-7.154,0.0465,114.038,9.0,4.0
